Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
granit_econom;Ем 29 100 т;гранит;темно-серый;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;13100;
granit_econom;Ем 41 100 т;гранит;темно-серый;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12600;
granit_econom;Ем 56 100 т;гранит;темно-серый;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;13400;
granit_econom;Ем 57 100 т;гранит;темно-серый;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;13400;
granit_econom;Ем 58 100 т;гранит;темно-серый;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;13400;
granit_econom;Ме 100 45 5 прямой;гранит;черный;все стороны;114 см;120 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;14800;
granit_econom;Ем 13 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;14500;
granit_econom;Ем 19 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;14500;
granit_econom;Ем 41 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;14500;
granit_econom;Ем 48 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;14500;
granit_econom;Ем 55 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;18500;
granit_econom;Дж 42 100;гранит;черный;все стороны;114 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 15 × 14 см;100 × 8 × 5 см;18200;
granit_econom;Дж 53 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 54 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 55 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
granit_econom;Дж 56 100;гранит;черный;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;18200;
